name,paper_title,arxiv_id,code_url,category,datasets_tested,metrics_reported,strengths,weaknesses,selected,selection_reason,training_lane,evidence_status,direct_numeric_policy
RTN,"Round-to-nearest reference; no single canonical paper asserted",N/A,N/A,foundational,"Native WikiText-2 bounded run; future datasets planned","Exact artifact bytes; NLL; perplexity","Deterministic data-free reference; already implemented","Sensitive to range and group definition; no calibration adaptation",yes,"Required common base and A0 lower-complexity control",A0,"verified only for current bounded native run","Direct only under identical tensor scope, quantizer configuration, exact artifact bytes, and evaluation"
GPTQ,"GPTQ: Accurate Post-Training Quantization for Generative Pre-trained Transformers",2210.17323,https://github.com/IST-DASLab/gptq,foundational,"See primary paper; target protocol not yet normalized","Literature-reported only; no values imported into this paper contract","Canonical second-order weight-only PTQ","External reproduction and exact serialized payload matching are pending",yes,"Foundational Hessian-aware quantization comparator",A1,literature-reported,"Direct after matching model, calibration tokens, group rules, tensor scope, physical bytes, and evaluation"
AWQ,"AWQ: Activation-aware Weight Quantization for On-Device LLM Compression and Acceleration",2306.00978,https://github.com/mit-han-lab/llm-awq,direct_competitor,"See primary paper; target protocol not yet normalized","Literature-reported only; no values imported into this paper contract","Activation-aware salient-weight protection and foldable scaling","Clipping/search and scale folding must be audited; reproduction pending",yes,"Closest scale-protection PTQ control",A1,literature-reported,"Direct after matched calibration, group size, exported scale state, physical bytes, and evaluation"
SparseGPT,"SparseGPT: Massive Language Models Can Be Accurately Pruned in One-Shot",2301.00774,https://github.com/IST-DASLab/sparsegpt,foundational,"See primary paper; target protocol not yet normalized","Literature-reported only; no values imported into this paper contract","Canonical one-shot Hessian-informed pruning","Deployable support/index bytes and sparse kernel assumptions differ by format",yes,"Foundational sparse second-order comparator",A1,literature-reported,"Direct after matched sparsity structure, calibration, tensor scope, sparse encoding bytes, and evaluation"
Wanda,"A Simple and Effective Pruning Approach for Large Language Models",2306.11695,https://github.com/locuslab/wanda,foundational,"See primary paper; target protocol not yet normalized","Literature-reported only; no values imported into this paper contract","Simple activation-magnitude pruning without backward","Support encoding and tensor exclusions require explicit accounting",yes,"Foundational no-backward pruning comparator",A1,literature-reported,"Direct after matched support pattern, calibration, tensor scope, physical sparse bytes, and evaluation"
SpQR,"SpQR: A Sparse-Quantized Representation for Near-Lossless LLM Weight Compression",2306.03078,https://github.com/Vahe1994/SpQR,direct_competitor,"See primary paper; target protocol not yet normalized","Literature-reported only; no values imported into this paper contract","Joint quantized bulk plus sparse high-precision outliers","Outlier indices, permutations, and runtime format can dominate small-rate comparisons",yes,"Closest established heterogeneous quantization+sparse payload",A1,literature-reported,"Direct after matching outlier policy, calibration, exact payload, tensor scope, and evaluation"
SqueezeLLM,"SqueezeLLM: Dense-and-Sparse Quantization",2306.07629,https://github.com/SqueezeAILab/SqueezeLLM,direct_competitor,"See primary paper; target protocol not yet normalized","Literature-reported only; no values imported into this paper contract","Dense-and-sparse codebooks with Fisher sensitivity","Official main sensitivity path requires loss-gradient-square checkpoints",yes,"Closest dense+sparse parameter-efficiency baseline with backward cost disclosed",B,literature-reported,"Separate B-track comparison with gradient corpus, backward budget, codebooks, sparse bytes, and evaluation disclosed"
OmniQuant,"OmniQuant: Omnidirectionally Calibrated Quantization for Large Language Models",2308.13137,https://github.com/OpenGVLab/OmniQuant,direct_competitor,"See primary paper; target protocol not yet normalized","Literature-reported only; no values imported into this paper contract","Learned clipping and equivalent transformations under local reconstruction","Uses calibration backpropagation and may include activation quantization",yes,"Backward-assisted scale/transformation comparator",B,literature-reported,"Separate B track; match W-only versus W/A scope, steps, exported state, bytes, and evaluation"
SliderQuant,"SliderQuant: Accurate Post-Training Quantization for LLMs",2603.25284,https://github.com/deep-optimization/SliderQuant,direct_competitor,"See primary paper; target protocol not yet normalized","Literature-reported only; no values imported into this paper contract","Fused channel scales and a small low-rank repair are structurally close to the proposed components","Recent method; official reproduction and exact payload audit are pending",yes,"Recent scale+low-rank comparator",B,literature-reported,"Separate B track; charge LoRA factors, non-folded scales, rotations if used, and all metadata"
LiftQuant-block,"LiftQuant: Continuous Bit-Width LLM via Dimensional Lifting and Projection",2606.04050,https://github.com/Heliulu/LiftQuant,direct_competitor,"Official code audit plus bounded layer-0 smoke; target full-model protocol not run","No repository full-model PPL/task result; paper values remain literature-reported","Lifted binary code with block output-MSE correction","Pinned parser/protocol mismatch; unpatched Qwen smoke fails; no full reproduction",yes,"Recent lifted low-bit block-correction mechanism",B,literature-reported,"Mechanism or separate B-track only until protocol mapping, full-model metrics, and exported physical payload are verified"
ADMM-Q,"ADMM-Q: An Improved Hessian-based Weight Quantizer for Post-Training Quantization of Large Language Models",2605.11222,not_found_in_primary_sources,direct_competitor,"See primary paper; target protocol not yet normalized","Literature-reported only; no values imported into this paper contract","Joint Hessian-weighted discrete optimization","No official repository found in the existing audit",yes,"Recent Hessian-guided exact-discrete comparison for theory positioning",A1,literature-reported,"Literature context only unless an audited implementation becomes available"
HAS-VQ,"HAS-VQ: Hessian-Adaptive Sparse Vector Quantization for High-Fidelity LLM Compression",2601.06959,https://github.com/VladimerKhasia/HASVQ,direct_competitor,"See primary paper; target protocol not yet normalized","Literature-reported only; no values imported into this paper contract","Hessian-masked sparse vector quantization","External reproduction and artifact-format accounting are pending",yes,"Recent Hessian+sparse+vector-quantization comparator",A1,literature-reported,"Direct after official reproduction with codebooks, masks/support, descriptors, exact bytes, and evaluation"
SEPTQ,"SEPTQ: A Simple and Effective Post-Training Quantization Paradigm for Large Language Models",2604.10091,not_found_in_primary_sources,direct_competitor,"See primary paper; target protocol not yet normalized","Literature-reported only; no values imported into this paper contract","Recent selective GPTQ-style PTQ mechanism","No official repository found in the existing audit",yes,"Recent selective second-order PTQ context",A1,literature-reported,"Literature context only unless an audited implementation becomes available"
AAAC,"AAAC: Activation-Aware Adaptive Codebooks for 4-bit LLM Weight Quantization",2605.08692,not_found_in_primary_sources,direct_competitor,"See primary paper; target protocol not yet normalized","Literature-reported only; no values imported into this paper contract","Activation-aware adaptive two-codebook coding","No official repository found in the existing audit",yes,"Recent adaptive-codebook comparison",A1,literature-reported,"Literature context only unless an audited implementation becomes available"
DAQ,"Delta-Aware Quantization",2603.22324,https://github.com/Tencent/AngelSlim/blob/main/docs/source/features/quantization/daq.md,direct_competitor,"See primary paper and official documentation; target protocol not yet normalized","Literature-reported only; no values imported into this paper contract","Recent delta-aware quantization mechanism with official documentation","External reproduction and physical payload audit are pending",yes,"Recent residual/delta-aware comparison",A1,literature-reported,"Direct after official workflow reproduction and exact exported payload verification"
Q-Palette-data-aware,"Q-Palette: Fractional-Bit Quantizers Toward Optimal Bit Allocation for Efficient LLM Deployment",2509.20214,https://github.com/snu-mllab/Q-Palette,direct_competitor,"See primary paper; target protocol not yet normalized","Literature-reported only; no values imported into this paper contract","Palette codec with Hessian/perplexity-guided data-aware mode","Codebook, index, and decoder metadata require exact byte accounting",yes,"Recent codec-oriented rate comparison",A1,literature-reported,"Direct after matching palette mode, calibration, codebook/index payload, tensor scope, and evaluation"
QuIP-sharp,"QuIP#: Even Better LLM Quantization with Hadamard Incoherence and Lattice Codebooks",2402.04396,https://github.com/Cornell-RelaxML/quip-sharp,direct_competitor,"See primary paper; target protocol not yet normalized","Literature-reported only; no values imported into this paper contract","Strong lattice-codebook and incoherence-processing compression pipeline","Main reported pipeline includes fine-tuning and nontrivial decoder state",yes,"Training-dependent deployment-frontier context",C,literature-reported,"Separate C track; disclose fine-tuning and charge lattice, transform, codebook, and decoder state"
SpinQuant,"SpinQuant: LLM Quantization with Learned Rotations",2405.16406,https://github.com/facebookresearch/SpinQuant,direct_competitor,"See primary paper; target protocol not yet normalized","Literature-reported only; no values imported into this paper contract","Learned rotations can reduce quantization outliers","Official optimized path uses global causal-LM training",yes,"Global-recovery rotation comparator",C,literature-reported,"Separate C track; match W/A/KV scope, corpus, optimizer, rotation export, bytes, and evaluation"
LiftQuant-E2E,"LiftQuant: Continuous Bit-Width LLM via Dimensional Lifting and Projection",2606.04050,https://github.com/Heliulu/LiftQuant,direct_competitor,"Pinned entrypoint audit only; target protocol not run","No repository full-model PPL/task result; paper values remain literature-reported","Global CE recovery after lifted compression","Pinned entrypoint is import-blocked and unknown arguments may be ignored",yes,"Separate the paper's global recovery from block-only correction",C,literature-reported,"Literature/mechanism context until entrypoint, training budget, exported state, full-model metrics, and exact bytes are verified"
HESTIA,"HESTIA: A Hessian-Guided Differentiable Quantization-Aware Training Framework for Extremely Low-Bit LLMs",2601.20745,https://github.com/hestia2026/Hestia,direct_competitor,"See primary paper; target protocol not yet normalized","Literature-reported only; no values imported into this paper contract","Recent Hessian-guided differentiable ternary QAT","QAT training budget prevents frozen-PTQ ranking",yes,"Recent Hessian/QAT context",C,literature-reported,"Separate C track; disclose training data, steps, updated weights/state, exact artifact, and evaluation"
Q-only,"Native quantization endpoint",N/A,N/A,ablation_anchor,"WikiText-2 bounded run; larger protocols planned","Verified current endpoint bytes; NLL; PPL; Hessian proxy","Common base for marginal repair accounting","Not expected to be the best accuracy endpoint",yes,"Required denominator for every repair gain and byte delta",native,"verified only for current bounded run","Native measured control under identical manifest"
Q-block-scale,"Native Q plus block-scale endpoint",N/A,N/A,ablation_anchor,"WikiText-2 bounded run; larger protocols planned","Verified current endpoint bytes; NLL; PPL; paired windows","Tests whether few scale degrees of freedom protect amplitude","Adds physical scale state and is not strict-equal to QL in the current run",yes,"Scale-protection ablation",native,"verified only for current bounded run","Native measured control; charge every scale and descriptor byte"
Q-S-naive,"Native Q plus sparse residual with unrepaired values",N/A,N/A,ablation_anchor,"WikiText-2 bounded run; larger protocols planned","Verified current endpoint bytes; NLL; PPL; paired windows","Provides fixed-support control for OBS value repair","Sparse indices and row pointers are expensive at small rate",yes,"Ablation anchor for sparse value utilization",native,"verified only for current bounded run","Native measured control under same support and exact bytes as Q-S-OBS"
Q-S-OBS,"Native Q plus fixed-support OBS sparse-value repair",N/A,N/A,ablation_anchor,"WikiText-2 bounded run; larger protocols planned","Verified current endpoint bytes; NLL; PPL; paired windows","Tests zero-extra-byte value re-estimation on already-paid support","Does not by itself test globally optimal support selection",yes,"Core small-parameter repair ablation",native,"verified only for current bounded run","Native measured control; same support/payload as Q-S-naive"
Q-L,"Native Q plus low-rank repair",N/A,N/A,ablation_anchor,"WikiText-2 bounded run; larger protocols planned","Verified current endpoint bytes; NLL; PPL; Hessian proxy","Current best strict physical-rate endpoint and efficient index-free repair","Current advantage may not generalize beyond six tensors and one seed",yes,"Primary single-repair reference at 3248832 bytes",native,"verified only for current bounded run","Native measured control and strict byte target for combined allocation"
Strict-QSL,"Native strict Q plus sparse plus low-rank plus component scale",N/A,N/A,ablation_anchor,"WikiText-2 bounded run; larger protocols planned","Verified natural/final bytes; tail padding; NLL; PPL; Hessian cross terms","Tests one conservative heterogeneous candidate after padding to the Q-L final file length","Naturally underfills Q-L by 15680 bytes and is worse than Q-L; this does not reject a budget-exhausted allocation",yes,"Negative full-method endpoint that motivates exact-byte comfort-zone allocation",native,"verified only for current bounded run","Native measured endpoint; negative result and unused natural budget must remain visible"
Logical-rate-allocator,"Value-stream-only allocator control",N/A,N/A,ablation_anchor,"Legacy exploratory accounting only","Logical payload diagnostics; not a physical-rate result","Isolates the effect of descriptor, support, and alignment charging","Can reverse conclusions and must not be called equal-rate",yes,"Required ablation for exact physical accounting",native,"legacy diagnostic; not verified physical-rate evidence","Never enter a direct physical-rate ranking; label as logical accounting"
Effective-Interplay-SQ,"Effective Interplay between Sparsity and Quantization: From Theory to Practice",2405.20935,https://github.com/parsa-epfl/quantization-sparsity-interplay,closest_theory,"Primary-source literature protocol only","Q/S compound error; order; hardware effects","Closest prior on sparsity/quantization non-orthogonality and ordering","No physical serialized-rate audit under this repository codec",yes,"Mandatory interaction-theory positioning and order-ablation comparator",A0,literature-reported,"Official implementation is linked by the author project page; mechanism comparison is direct only when quantizer/sparsity/order/scope/bytes/evaluation are matched"
OBR,"Optimal Brain Restoration for Joint Quantization and Sparsification of LLMs",2509.11177,https://github.com/csguoh/OBR,direct_competitor,"Primary-source literature protocol only","PPL/task quality; speed/memory in paper","Closest Hessian joint Q/S compensation method","W/A/KV and sparsity scope differ; full serializer audit pending",yes,"Mandatory same-lane Hessian Q/S comparator",A1,literature-reported,"Direct only after folded-state proof, sparse layout bytes, calibration, scope, kernels, and evaluation match"
Hessian-ECSQ,"Towards the Limit of Network Quantization",1612.01543,not_found_in_primary_sources,foundational,"Historical vision networks","Hessian-weighted distortion; entropy/rate-constrained coding","Foundational Hessian plus Huffman/ECSQ rate precedent","Non-LLM scope and optional fine-tuning; no complete modern artifact audit",yes,"Precludes first Hessian-plus-rate novelty",B,literature-reported,"Theory/history context unless Hessian, codebook, entropy stream and evaluation are matched"
Optimal-Formats,"Optimal Formats for Weight Quantisation",2505.12988,not_found_in_primary_sources,direct_competitor,"Direct-cast LLM quantization and format analysis","Expected/sample code length; Fisher allocation","Closest variable-length format and Fisher rate-allocation prior","No complete self-describing model artifact byte audit found",yes,"Mandatory format/rate allocator comparison",B,literature-reported,"Split data-free format analysis from Fisher-assisted allocation; match entropy coder, Fisher budget, bytes and scope"
ProjQ,"ProjQ: Project-and-Quantize for Adapter-Aware LLM Compression",2606.00494,https://github.com/yy9301/ProjQ,direct_competitor,"LLaMA-2; Qwen2.5; Qwen3 in paper","Quantization compensation and downstream adaptation loss","Closest orthogonal Q/L coordination prior","Main track includes low-rank adaptation and no frozen same-byte artifact audit",yes,"Precludes first orthogonality-based Q/L claim",C,literature-reported,"Mechanism context unless frozen compensation is isolated from downstream LoRA and all factors/projection state are charged"
